pathway_id,pathway_name,source,description,organism
ecocyc.PWY0-1303,aminopropylcadaverine biosynthesis,EcoCyc,"Polyamines are important for cell growth and are believed to be involved in many processes including DNA, RNA, and protein synthesis, as well as membrane integrity and resistance to stress, to name a few. Cadaverine and aminopropylcadaverine are alternative polyamines that can at least partially substitute for purtrescine and spermidine, the primary polyamines found in E. coli. Lysine is decarboxylated to form cadaverine which is then converted to aminopropylcadaverine by the aminopropyltransferase, SpeE.",Escherichia coli K-12 MG1655
ecocyc.PWY-5838,superpathway of menaquinol-8 biosynthesis I,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY0-1577,hydrogen to dimethyl sulfoxide electron transfer,EcoCyc,"In the respiratory chain fromed by hydrogenase and dimethylsulfoxide (DMSO) reductase the transfer of electrons from hydrogen to DMSO is coupled to the generation of a proton motive force across the cytoplasmic membrane. Electron flow from H(2) to DMSO results in the formation of a proton gradient in whole cells and membrane vesicles of E. coli HB101; proton translocation is blocked by the uncoupler carbonyl cyanide p-trifluoromethoxyphenylhydrazone (CCPP) and by the quinone analog 2-n-heptyl-4-hydroxy-quinoline-N-oxide (HOQNO) . E. coli K-12 contains two membrane bound, H(2) uptake hydrogenases - hydrogenase 2 (shown in this pathway) and FORMHYDROGI-CPLX ""hydrogenase 1"". Hydrogenase 2 is a standard O2 sensitive hydrogenase and is the major hydrogenase during anaerobic respiration with hydrogen and fumarate while hydrogenase 1 is an O2 tolerant hydrogenase whose physiological function is not yet clearly defined (see for example . Hydrogenase 2 is presumed to be an energy conserving enz",Escherichia coli K-12 MG1655
ecocyc.PWY0-1295,pyrimidine ribonucleosides degradation,EcoCyc,"E. coli can use both naturally occurring pyrimidine ribonucleosides (cytidine and uridine) as total sources of carbon and energy. Uridine is cleaved by a phosphorylase yielding uracil and D-ribose-1-phosphate, which, after being converted to D-ribose-5-phosphate by a mutase that also can utilize D-deoxyribose-1-phosphate as a substrate, enters central metabolism through the nonoxidative branch of the pentose phosphate pathway. In contrast, E. coli lacks a phosphorylase capable of cleaving cytidine. This nucleoside must be deaminated (thereby yielding uridine) before it can be cleaved. The amino nitrogen of cytidine, but not the ring-nitrogen of uracil, generated as a by-product of this pathway, can serve as a total nitrogen source for E. coli over its entire temperature range of growth. However, this ring nitrogen does become available to serve as a total nitrogen source at room temperature via a pathway encoded by genes in the rut operon . Review: Linn, E.C.C. Dissimilatory Pathways f",Escherichia coli K-12 MG1655
ecocyc.PWY0-1559,BtsSR Two-Component Signal Transduction System,EcoCyc,"BtsSR is a two-component system (TCS) that senses nutrient limitation and induces expression of G7942-MONOMER ""btsT"" encoding a high-affinity pyruvate:H+ symporter. BtsSR responds to extracellular pyruvate levels via EG12007-MONOMER ""BtsS"", a high affinity pyruvate receptor. Cross-talk between the BtsSR TCS and the PWY0-1550 ""PyrSR TCS"" has been demonstrated and the two systems are proposed to constitute a pyruvate signaling network that fine tunes the use of available carbon sources (see also ). Resuscitation of cold-stressed, viable but nonculturable (VBNC) cells with pyruvate requires the BtsSR and PyrSR signaling network . BtsS is an inner membrane protein and member of the 5TM-Lyt (5 transmembrane receptors of the LytS-YhcK type) group of bacterial receptors . BtsS binds pyruvate specifically and with high affinity ; BtsS forms a signaling system with EG12006-MONOMER ""BtsR"" - a LytTR-like response regulator which regulates expression of G7942-MONOMER ""btsT"" . The BtsSR system is a",Escherichia coli K-12 MG1655
ecocyc.LPSSYN-PWY,superpathway of Kdo2-lipid A biosynthesis,EcoCyc,"General Background Bacterial lipopolysaccharides (LPS) are unique and complex glycolipids that provide characteristic components of the outer monolayer of the outer membranes of gram-negative bacteria. Wild type LPS is composed of a hydrophobic domain lipid A (or endotoxin), a phosphorylated ""core"" oligosaccharide (core OS) and a distal O-specific polysaccharide (or O-antigen). Strains of E. coli K-12 normally do not make O-antigen, unless a mutation in the O-antigen operon is corrected . O antigens are not needed for growth in the laboratory, but they protect bacteria from antibiotics and complement-mediated lysis. The lipid A and Kdo domains of LPS are required for growth . The lipid A (endotoxin) domain of LPS is a unique, glucosamine-based saccharolipid that serves as the hydrophobic anchor of LPS. It is the bioactive component of the molecule that is associated with gram-negative septic shock . There are approximately 106 lipid A residues in an E. coli cell . Lipid A of E. coli co",Escherichia coli K-12 MG1655
ecocyc.PWY-8274,pyruvate fermentation to (R)-lactate,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.GLYCEROLMETAB-PWY,glycerol degradation V,EcoCyc,"Glycerol dissimilation in E. coli is usually initiated by the ATP-dependent GLYCEROL-KIN-CPLX (GlpK), which phosphorylates glycerol to glycerol-3-phosphate; see PWY-4261. However, upon inactivation of GlpK, it may be replaced by the NAD+-linked dehydrogenase GLYCDEH-CPLX GldA . E. coli is able to utilize dihydroxyacetone as the sole source of carbon and energy . However, wild-type expression of gldA appears to be insufficient to enable growth on glycerol in the absence of GlpK .",Escherichia coli K-12 MG1655
ecocyc.PWY-6122,5-aminoimidazole ribonucleotide biosynthesis II,EcoCyc,"General Background In E. coli 5-amino-1-(5-phospho-D-ribosyl)imidazole (AIR) is a key intermediate in the de novo biosynthesis of purine nucleotides and of thiamin . It is synthesized from 5-phospho-α-D-ribose 1-diphosphate (PRPP) in 5 steps, catalyzed by the enzymes PRPPAMIDOTRANS-CPLX, GLYCRIBONUCSYN-MONOMER, GART-MONOMER (or GARTRANSFORMYL2-MONOMER), FGAMSYN-MONOMER and AIRS-CPLX. De novo biosynthesis of purines starts with the synthesis of IMP which can be converted to all other purines. In E. coli IMP is synthesized in a total of 11 enzymatic reactions in which the purine ring is formed by stepwise addition of small molecules to PRPP. The first five reactions are shown in this pathway and in pathway PWY-6121. These two pathways illustrate the alternative use of two phosphoribosylglycinamide formyltransferases encoded by purN and purT. The last six reactions are shown in pathway PWY-6123. In bacteria, genetic studies have indicated that the majority of de novo purine biosynthetic g",Escherichia coli K-12 MG1655
ecocyc.PWY-6153,autoinducer AI-2 biosynthesis I,EcoCyc,"General Background Cell-to-cell communication in bacteria is accomplished through the exchange of extracellular signaling molecules called autoinducers. This process, termed quorum sensing, allows bacterial populations to coordinate gene expression as a function of cell density. Many processes benefit from community cooperation, including bioluminescence, virulence factor expression, antibiotic production and biofilm development. Cell to cell signaling through quorum sensing in bacteria occurs through three main processes LuxR-LuxI, LuxS/AI-2, and AI-3/epinephrine/norepinephrine. The LuxR-LuxI process controls signaling through autoinducer 1 (AI-1) which is an N-acyl-homoserine lactone (AHL). It was first described in Vibrio fischeri as a regulator of bioluminescence. However Escherichia coli and Salmonella typhimurium lack LuxI and do not synthesize AHLs, although the product of gene sdiA recognizes AHLs from other bacterial species. The LuxS/AI-2 process controls both intraspecies an",Escherichia coli K-12 MG1655
ecocyc.PWY-6690,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate,EcoCyc,"General Background Phenylpropanoid compounds are abundant in natural environments where they can originate from putrefaction of proteins in soil or as breakdown products of plant materials such as lignin, various oils, and resins. Microbial catabolism of phenylpropanoids plays an important role in the natural degradation of these compounds (in ). The degradation of the phenylpropanoids trans-cinnamate, 3-phenylpropionate (3-phenylpropanoate) and their hydroxylated derivatives has been reported in several members of the Proteobacteria and Actinobacteria including Escherichia coli K-12 and other strains of E. coli . In E. coli K-12 this pathway is one of only two aromatic-ring-cleavage pathways that are found in the organism. The other aromatic-ring-cleavage pathway is PWY0-321. About This Pathway The mhp and hca encoded enzymes of the pathway shown here can metabolize both trans-cinnamate and its hydroxylated derivatives, and 3-phenylpropionate and its hydroxylated derivatives (as shown",Escherichia coli K-12 MG1655
ecocyc.NAGLIPASYN-PWY,lipid IVA biosynthesis (E. coli),EcoCyc,"Lipopolysaccharide (LPS), a major outer membrane component, is composed of three domains: Lipid A, the core, which is an oligosaccharide consisting of an inner and outer region; and a distal repeating unit known as O-antigen. Lipid A is a β-1,6-linked glucosamine disaccharide. Attached to this is the inner core containing at least two 3-deoxy-D-manno-octulosonate units followed by two units of heptose. The outer core region and the O-antigen are attached to one of the heptose units. This pathway includes the steps that lie between UDP-N-acetylglucosamine and the immediate lipid A precursor. A quantitative model of the enzymatic steps in this pathway and its regulation has been built .",Escherichia coli K-12 MG1655
ecocyc.PWY-8457,thiamine diphosphate salvage V,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.GLYCOLYSIS-TCA-GLYOX-BYPASS,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY0-521,fructoselysine and psicoselysine degradation,EcoCyc,"Fructosamines are generated non-enzymatically by a condensation of glucose with primary amines, followed by an Amadori rearrangement. Fructoselysine appears to be metabolized by bacteria in the human hind gut . E. coli can grow on fructoselysine or psicoselysine as the sole carbon source . Growth on fructoselysine induces the production of the enzymes of the fructoselysine degradation pathway .",Escherichia coli K-12 MG1655
ecocyc.PWY0-1275,lipoate biosynthesis and incorporation II,EcoCyc,"About lipoate Lipoate is a sulfur-containing cofactor found in many prokaryotic and eukaryotic organisms. It is utilized by several enzymes involved in oxidative metabolism, including PYRUVATEDEH-CPLX , 2OXOGLUTARATEDEH-CPLX , branched-chain ketoacid dehydrogenase , and the GCVMULTI-CPLX . Each of these enzyme complexes is composed of multiple copies of three enzymes: a substrate-specific decarboxylase-dehydrogenase (E1), a dihydrolipoamide acyltransferase (E2) specific for each type of complex, and a dihydrolipoamide dehydrogenase (E3), and a flavoprotein that is a common component of these multienzyme complexes. E1 catalyzes both the decarboxylation of the α-keto acid and the subsequent reductive acylation of the lipoyl moiety, which is covalently bound to E2. E2 catalyzes the acyl transfer step, and E3 catalyzes the reoxidation of the dihydrolipoyl moiety with NAD as the ultimate electron acceptor . The lipoate cofactor is bound to the E2 by an amide linkage between its carboxylate ",Escherichia coli K-12 MG1655
ecocyc.PWY-6126,superpathway of adenosine nucleotides de novo biosynthesis II (from IMP and L-aspartate),EcoCyc,"General Background De novo biosynthesis of purines starts with the synthesis of IMP which can be converted to all other purines. In E. coli IMP is synthesized in a total of 11 enzymatic reactions in which the purine ring is formed by stepwise addition of small molecules to 5-phospho-α-D-ribose-1-phosphate (PRPP). The first five reactions are shown in pathways PWY-6121 and PWY-6122 which illustrate the alternative use of two phosphoribosylglycinamide formyltransferases encoded by purN and purT. The last six reactions leading to IMP are shown in pathway PWY-6123. IMP can then be converted to guanosine nucleotides as shown in pathway PWY-6125, or adenosine nucleotides as shown in this pathway. About This Pathway IMP is converted to adenylo-succinate by the enzyme ADENYLOSUCCINATE-SYN-DIMER (PurA) and the latter compound is converted to the first adenosine nucleotide, AMP, by the AMPSYN-ENZRXN activity of PurB. AMP is then converted to ADP and subsequently to ATP. The AMP to ADP conversion",Escherichia coli K-12 MG1655
ecocyc.ECASYN-PWY,enterobacterial common antigen biosynthesis,EcoCyc,"Enterobacterial common antigen (ECA) is a carbohydrate antigen common to members of the order Enterobacterales . It consists of repeating units of the three amino sugars, N-acetyl-glucosamine (GlcNAc), N-acetyl-D-mannosaminuronic acid (ManNAcA), and 4-acetamido-4,6-dideoxy-D-galactose (Fuc4NAc) . Three forms of ECA have been identified - two surface exposed forms, CPD-21605 glycerophosphatidyl-linked ECA (ECAPG) and CPD0-2294 lipopolysaccharide-linked ECA (ECALPS), and a CPD0-2646 cyclic form of ECA (ECACYC) located in the periplasm . ECAPG and ECACYC are thought to be present in all Enterobacterales while ECALPS is only found in bacteria producing rough LPS including E. coli K-12. ECACYC has been implicated in maintaining the outer membrane permeability barrier but the function of surface exposed ECA remains unclear. This pathway describes biosynthesis of the invariant ECA trisaccharide repeating unit and its assembly on the lipid carrier, undecaprenyl-phosphate (Und-P) . Synthesis is",Escherichia coli K-12 MG1655
ecocyc.PWY0-1498,ZraSR Two-Component Signal Transduction System,EcoCyc,"The Zra signaling pathway is an atypical two-component signal transduction system comprising the histidine kinase ZraS, cytoplasmic transcription factor, ZraR and periplasmic accessory protein CPLX0-8204 ""ZraP"". ZraPSR is an envelope stress response system which contributes to antibiotic resistance; ZraPSR helps maintain membrane integrity and impacts cell survival under a variety of stresses (chemical and environmental) that affect the cell envelope; the ZraR regulon is diverse and suggests that ZraPSR mediates a complex cellular response to envelope stress (see also ). The inner membrane protein ZraS and cytoplasmic transcription factor, ZraR comprise the histidine kinase and response regulator respectively of a two-component signal transduction system. ZraS autophosphorylates in the presence of labeled ATP and transphosphorylates its cognate response regulator ZraR in vitro . The ZraSR system responds to high concentrations of extracellular Zn2+ and Pb2+ and regulates expression of ",Escherichia coli K-12 MG1655
ecocyc.PWY-6629,superpathway of L-tryptophan biosynthesis,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY0-41,allantoin degradation IV (anaerobic),EcoCyc,"S-ALLANTOIN is a common product of purine degradation. ECOLI is able to utilize S-ALLANTOIN as a sole source of nitrogen under anaerobic conditions, but can not utilize it as a sole source of carbon (see also ). The first step in allantoin degradation is the opening of the aromatic ring, yielding ALLANTOATE, performed by CPLX-64. In the next step allantoate is hydrolyzed to CPD0-2298 by CPLX-7524. While the second hydrolysis step (from CPD0-2298 to CPD-1091) can happen spontaneously in a non-stereospecific manner, it is stereospecifically catalyzed by G6284-MONOMER. G6286-MONOMER then oxidizes ureidoglycolate to CPD-389 which is converted into OXAMATE and CARBAMOYL-P by G6287-MONOMER oxamate carbamoyltransferase; subsequent metabolism of carbamoyl phosphate generates ATP and releases ammonia . The fate of oxamate is unclear although provide evidence that it is not degraded further. The variant pathway PWY-5705 shows a possible alternative route of allantoin degradation, where the ureid",Escherichia coli K-12 MG1655
ecocyc.PWY-6147,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,EcoCyc,"Reduced folate cofactors are required for the syntheses of various essential cell nutrients. E. coli and other microorganisms must synthesize folates de novo as they lack the transport pathway to take up folate cofactors. DIHYDROPTERIN-CH2OH-PP is the pterin precursor for the biosynthesis of THF. This pterin is synthesized from GTP in a pathway that starts with FOLE-CPLX, which converts GTP into DIHYDRONEOPTERIN-P3. The H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER ""NudB"" pyrophosphohydrolase then generates DIHYDRONEOPTERIN-P. The remaining phosphate group may be removed by one or more non-specific phosphatases. The resulting DIHYDRO-NEO-PTERIN is fist converted to AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE by CPLX0-3936 and subsequently phosphorylated to DIHYDROPTERIN-CH2OH-PP by H2PTERIDINEPYROPHOSPHOKIN-MONOMER ""FolK"". Review:",Escherichia coli K-12 MG1655
ecocyc.PWY-2161,folate polyglutamylation,EcoCyc,"Folates are required in a variety of reactions (known as one-carbon metabolism) in both bacterial and mammalian tissues, where they act as carriers of one-carbon units in various oxidation states. These one-carbon units are utilized in the biosynthesis of various cellular components, including glycine, methionine, formylmethionine, thymidylate, pantothenate and purine nucleotides. During folate biosynthesis (as described in FOLSYN-PWY) the enzyme DIHYDROFOLATESYNTH-ENZRXN (encoded in E. coli by EG10327) adds a glutamate residue to 7,8-dihydropteroate, resulting in 7,8-dihydrofolate, also known as H2PteGlu1. This molecule in turn is reduced by DIHYDROFOLATEREDUCT-ENZRXN (FolA) to tetrahydrofolate (H4PteGlu1, or THF). THF can then be converted to several other folate molecules . However, most folate molecules are further modified in cells by successive additions of glutamate residues, forming folate polyglutamtes (or folylpoly-γ-glutamates). Most of the glutamates are added by γ-carboxy-",Escherichia coli K-12 MG1655
ecocyc.PWY-7220,adenosine deoxyribonucleotides de novo biosynthesis II,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY0-1507,biotin biosynthesis from 8-amino-7-oxononanoate I,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY0-1512,CusSR Two-Component Signal Transduction System,EcoCyc,"Copper is both an essential nutrient and a toxic substance and thus E. coli K-12 has evolved several pathways (both chromosomal and plasmid-borne) to control intra-cellular copper availability. One of these is the chromosomally encoded Cus system which includes a tripartite transporter CPLX0-1721 ""(CusCFBA)"" that functions in copper and silver extrusion . CusSR is the two-component system which activates expression of the CusCFBA operon in response to elevated copper and silver concentrations. The Cus system appears to be important in anaerobic growth and under conditions of extreme copper stress . Under aerobic conditions CusSR induces the protein repair system CPLX0-8213 MsrPQ to protect copper-trafficking proteins, including components of the CusCFBA efflux pump, from methionine oxidation . Typically, two component systems comprise a membrane associated sensor kinase which autophosphorylates in response to an environmental signal and transfers a phosphoryl group to a cytoplasmic res",Escherichia coli K-12 MG1655
ecocyc.PROUT-PWY-I,proline degradation,EcoCyc,"Proline can serve as a total source of carbon and energy or of nitrogen for E. coli. In the two steps (both of which are catalyzed by the product of putA) shown here, proline is converted to L-glutamate, which is further degraded to α-ketoglutarate, an intermediate of the TCA cycle. Curiously, L-glutamate, the obligate intermediate of the proline degradation pathway, cannot itself serve as a total source of carbon and energy for E. coli, because glutamate transport supplies exogenous glutamate at an inadequate rate. Sometimes the proline degradation pathway is shown in three steps, with glutamate-5-semialdehyde as an intermediate between pyrroline-5-carboxylate and glutamate. The conversion of pyrroline-5-carboxylate to glutamate-5-semialdehyde is thought to occur spontaneously, although the putA product might stimulate the reaction. In addition to its being a building block of proteins, proline acts as an osmotic protectant. Consistent with this latter role, high osmolarity inhibits p",Escherichia coli K-12 MG1655
ecocyc.PWY-6894,thiamine diphosphate biosynthesis I (E. coli),EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.DAPLYSINESYN-PWY,L-lysine biosynthesis I,EcoCyc,"A metabolic connection joins synthesis of an amino acid, lysine, to synthesis of cell wall material. Diaminopimelate is a precursor both for lysine and for cell wall components. The synthesis of lysine, methionine and threonine share two reactions at the start of the three pathways, the reactions converting L-aspartate to L-aspartate semialdehyde. The first reaction, aspartate kinase, is carried out by three isozymes, one specific for synthesis of each end product amino acid. Each of the three aspartate kinase isozymes is regulated by its corresponding end product amino acid.",Escherichia coli K-12 MG1655
ecocyc.POLYISOPRENSYN-PWY,polyisoprenoid biosynthesis (E. coli),EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.ORNDEG-PWY,superpathway of ornithine degradation,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY-4381,fatty acid biosynthesis initiation (type II),EcoCyc,"General Background Fatty acids are key building blocks for the phospholipid components of cell membranes and are determinants of intracellular communication, in the form of lipid second messengers and fatty acyl moieties of proteins that modify their location and function . There are two basic types of fatty acid (FAS) biosynthesis mechanisms. The type I system is found in mammals and lower eukaryotes. Type II systems are found in bacteria, plants , parasites of the TAX-5794 phylum and mitochondria . The reactions in these systems are catalyzed by a series of individual soluble proteins that are each encoded by a discrete gene, and the pathway intermediates are transferred between the enzymes as thioesters of a holo-[acp]. The best-studied pathway is that of E. coli K-12, from which all the enzymes have been purified and crystallized . Fatty acid biosynthesis starts with an initiation sequence that produces Acetoacetyl-ACPs, an activated molecule that is used for subsequent elongation ",Escherichia coli K-12 MG1655
ecocyc.PWY-5667,CDP-diacylglycerol biosynthesis I,EcoCyc,"General Background Phospholipids are important components of the inner and outer membranes of E. coli. Most phospholipids are Phosphoglycerides ""phosphoglycerides"". The simplest phosphoglycerides, which are known as L-PHOSPHATIDATE (a phosphatidate), are composed of a glycerol molecule attached to two fatty acids and one phosphate group. The carboxyl group of each fatty acid is esterified to the hydroxyl groups on C-1 and C-2 of the glycerol molecule, while the phosphate group is attached to C-3 by an ester link. Most of the fatty acids of E. coli are contained in phospholipids. The three main phospholipids of E. coli are phosphatidylethanolamine, phosphatidylglycerol and cardiolipin. Phosphatidylethanolamine comprises about 75% of the total phospholipid, with the latter two varying as to growth phase. Trace amounts of other phospholipids including monoacylphosphatidylglycerol and phosphatidylserine are also present. The fatty acid composition of E. coli phospholipids consists of palmi",Escherichia coli K-12 MG1655
ecocyc.PWY0-1490,EvgSA Two-Component Signal Transduction System,EcoCyc,"The EvgSA two component signal transduction system (TCS) comprises EVGS-MONOMER ""EvgS"" - the membrane associated sensor kinase - and EVGA-MONOMER ""EvgA"" - the cytoplasmic response regulator. The EvgSA TCS initiates a complex transcriptional cascade that functions for acid and drug resistance . EvgSA is a key component of the glutamate-dependent acid response (AR2) (see ). Activation of the EvgSA system occurs under mild acidic conditions (pH 5-6) and in the presence of high concentrations of alkali metals . The EvgS/EvgA system also responds to the availability of oxygen; aeration is required for EvgSA activation under mildly acidic conditions . Activation of the EvgSA signal transduction system (through use of a constitutively active EvgS mutant) directly upregulates at least six genes/operons including the transcriptional regulator G6789-MONOMER ""ydeO which upregulates gadE - the master regulator of acid resistance genes . EvgS is a tripartite sensor kinase; upon activation, EvgS aut",Escherichia coli K-12 MG1655
ecocyc.ASPARAGINE-DEG1-PWY,L-asparagine degradation I,EcoCyc,"L-asparagine can serve as the sole source of carbon and nitrogen for E. coli . Asparaginase hydrolyzes L-asparagine, generating ammonia and L-aspartate. E. coli encodes three enzymes with asparaginase activity . However, only one of them, ANSA-CPLX, has been shown to be required for utilization of L-asparagine. This cytoplasmic enzyme does not appear to be regulated at the level of transcription, but it is allosterically activated by L-asparagine , thus ensuring that L-asparagine is only utilized as a source of carbon and nitrogen when excess amounts beyond the normal protein synthesis requirements are available. A second cytoplasmic enzyme, CPLX0-263, has only low levels of asparaginase activity and may thus not normally be involved in this process. The periplasmic asparaginase, ANSB-CPLX, is highly active. Its expression is induced by anaerobiosis via Fnr, indicating that its primary function may be the generation of fumarate as an electron acceptor during anaerobic respiration . Int",Escherichia coli K-12 MG1655
ecocyc.PWY0-1509,NtrBC Two-Component Regulatory System,EcoCyc,"The NtrBC (NRII-NRI) two-component system controls a transcriptional response to nitrogen starvation. The system comprises a cytoplasmic histidine kinase, NtrB (nitrogen regulator II / NRII), and a DNA binding transcriptional regulator, NtrC (nitrogen regulator I / NRI). The NtrBC pathway is part of a complex regulatory network of cellular processes that control ammonium assimilation in E. coli (see ). NtrBC is the second cycle within a bicyclic system which senses and responds to intracellular signals of nitrogen status (see ). Under nitrogen limiting conditions NtrB autophosphorylates and transfers a phosphate to its cognate response regulator NtrC; phosphorylation of NtrC promotes formation of a higher order oligomer which is required for transcription activation . NtrC regulates transcription of a large number of genes and operons whose products assimilate ammonia, scavenge nitrogen-containing compounds and integrate nitrogen assimilation with other metabolic processes ; NtrC is a ",Escherichia coli K-12 MG1655
ecocyc.PWY0-42,2-methylcitrate cycle I,EcoCyc,"E. coli is able to utilize propionate as the sole source of carbon and energy, utilizing the methylcitrate cycle . Propionate can have broad negative effects on the bacterial cell functions, including cytosol acidification, dissipation of the proton motive force, disruption of CoA homeostasis, and, in some cases, inhibition of the key TCA enzymes aconitase and citrate synthase due to formation of CPD-622. For these reasons, propionate is sometimes used as a preservative in foods. However, some bacteria are able to degrade propionate, and even use it as the sole carbon source. Of all the propionate degradation pathways, the 2-methylcitric acid cycle is the most widely destributed. In this pathway, the Cα methylene group of propionate is oxidized to a keto group yielding PYRUVATE, a common precursor for biosynthesis and energy production. The pathway, which was discovered in fungi , was best characterized in TAX-90371 . The initial step of the pathway is the activation of PROPIONATE to P",Escherichia coli K-12 MG1655
ecocyc.PWY0-862,(5Z)-dodecenoate biosynthesis I,EcoCyc,"The pathway of biosynthesis of unsaturated fatty acids branches from the pathway leading to saturated fatty acids at Beta-hydroxydecanoyl-ACPs. Two dehydratases, FabA and FabZ, function for the most part interchangeably in converting OH-ACYL-ACP of various chain lengths, saturated or unsaturated, to the corresponding TRANS-D2-ENOYL-ACP unsaturated forms. But FabA has the unique ability of converting some of the Trans-D2-decenoyl-ACPs produced to Cis-delta-3-decenoyl-ACPs. The trans form is subsequently reduced and stays in the pathway leading to saturated fatty acids. However, the cis-form cannot be reduced. Instead it serves directly as a substrate for the condensing enzyme, FabB, and the subsequent three reactions shown here that lengthen the chain by two carbon atoms. As might be predicted, mutant strains unable to produce active FabA are unable to make unsaturated fatty acids, but make a normal complement of saturated fatty acids. Repeated cycling of these four elongation reactions",Escherichia coli K-12 MG1655
ecocyc.PWY-6910,hydroxymethylpyrimidine salvage,EcoCyc,"General Background THIAMINE-PYROPHOSPHATE ""Thiamine diphosphate"", also known as vitamin B1, is known to play a fundamental role in energy metabolism. It is an essential cofactor for a variety of enzymes such as TRANSKETOI-CPLX transketolase, PYRUVATEDEH-CPLX ""pyruvate dehydrogenase"", pyruvate decarboxylase, and α-ketoglutarate dehydrogenase . Its discovery followed from the original early research on the anti-beriberi factor found in rice bran. Beriberi, a neurological disease, was particularly prevalent in Asia, where the refining of rice resulted in the removal of the thiamine-containing husk . Thiamine is synthesized de novo by microorganisms, plants and some lower eukaryotes (e.g. TAX-5820), but not by higher eukaryotes, which must obtain it through their diet. About This Pathway Since the de novo biosynthesis of THIAMINE-PYROPHOSPHATE is a very complex process, many organisms possess various salvage pathways that enable them to rescue thiamine fragments obtained from the environme",Escherichia coli K-12 MG1655
ecocyc.GLYCOLYSIS-E-D,superpathway of glycolysis and the Entner-Doudoroff pathway,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.MANNIDEG-PWY,mannitol degradation I,EcoCyc,"Of the six existing hexitols only three (D-mannitol, D-sorbitol [glucitol], and galactitol [owing to symmetry, D- and L-galactitol are identical]) occur naturally, and each of these can be utilized by E. coli K-12 as a total source of carbon and energy. Each enters the cell via a specific phosphotransferase system so the first intracellular species is the 6-phospho derivative (in the case of mannitol, D-mannitol-1-phosphate and D-manitol-6-phosphate are identical). D-mannitol-1-phosphate is converted by a single dehydrogenase reaction to the glycolytic intermediate D-fructose-6-phosphate, and hence flows through the pathways of central metabolism to satisfy the cell's need for precursor metabolites, reducing power, and metabolic energy. Review: Mayer, C. and W. Boos, Hexose/Pentose and Hexitol/Pentitol Metabolism. EcoSal Module 3.4.1",Escherichia coli K-12 MG1655
ecocyc.PWY0-1599,periplasmic disulfide bond formation,EcoCyc,"The formation of disulfide bonds is an oxidation reaction in which two electrons are removed from a protein. The DsbA-DsbB pathway shown here, harnesses the oxidizing power of membrane quinones for the production of disulfide bonds in periplasmic proteins. Electrons from reduced substrate proteins in the periplasm flow through this pathway via a series of inter and intra-molecular thiol-disulfide exchange reactions before being passed to the membrane quinones and ultimately to the terminal acceptors of aerobic and anaerobic respiration. DISULFOXRED-MONOMER ""DsbA"" is a small periplasmic protein with a single redox-active disulfide bond; disulfide bonded DsbA is a strong oxidant and undergoes disulfide exchange with the reduced cysteine residues of numerous substrate proteins. To restore its activity, reduced DsbA is then reoxidized by the inner membrane protein thiol:quinol oxidoreductase, DSBBPROT-MONOMER ""DsbB"". DsbB contains two redox active disulfides which are involved in the trans",Escherichia coli K-12 MG1655
ecocyc.DARABITOLUTIL-PWY,D-arabinitol degradation I,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY-6317,D-galactose degradation I (Leloir pathway),EcoCyc,"The biological interconversion of galactose and glucose takes place only by way of the Leloir pathway and requires the three enzymes GALACTOKIN-MONOMER, GALACTURIDYLYLTRANS-CPLX and UDPGLUCEPIM-CPLX. The only biological importance of these enzymes appears to be to provide for the interconversion of galactosyl and glucosyl groups. ALDOSE1EPIM-MONOMER also participates by producing the galactokinase substrate ALPHA-D-GALACTOSE from its β-anomer . The cycle requires an initial amount of CPD-12575, which is produced by GLUC1PURIDYLTRANS-MONOMER (EC 2.7.7.9) . Review:",Escherichia coli K-12 MG1655
